Data element,Possible values and units
ABO antigens,"ABO and Rh group [Type] in Blood (LOINC: 882-1, Concept ID: 3003694)"
ABO antigens,"ABO group [Type] in Blood (LOINC: 883-9, Concept ID: 3002529)"
AFP,"Alpha-1-Fetoprotein [Multiple of the median] in Serum or Plasma (LOINC: 20450-3, Concept ID: 3024370)"
AFP,"Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma (LOINC: 1834-1, Concept ID: 3009306)"
AFP,"Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma (LOINC: 53962-7, Concept ID: 3039783)"
AFP,"Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma (LOINC: 23811-3, Concept ID: 3016670)"
AG,"Anion gap 3 in Serum or Plasma (LOINC: 10466-1, Concept ID: 3021391)"
AG,"Anion gap in Serum or Plasma (LOINC: 33037-3, Concept ID: 3045716)"
Albumin,"Albumin/Globulin [Mass Ratio] in Serum or Plasma (LOINC: 1759-0, Concept ID: 3020509)"
Albumin,"Albumin [Mass/volume] in Urine (LOINC: 1754-1, Concept ID: 3012516)"
Albumin,"Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method (LOINC: 61151-7, Concept ID: 40763912)"
Albumin,"Albumin [Mass/volume] in Serum or Plasma by Electrophoresis (LOINC: 2862-1, Concept ID: 3028286)"
Albumin,"Microalbumin [Mass/volume] in Urine (LOINC: 14957-5, Concept ID: 3000034)"
Albumin,"Microalbumin [Mass/volume] in 24 hour Urine (LOINC: 30003-8, Concept ID: 3005031)"
Albumin,"Albumin [Mass/volume] in Serum or Plasma (LOINC: 1751-7, Concept ID: 3024561)"
ALP,"Alkaline phosphatase [Enzymatic activity/volume] in Blood (LOINC: 1783-0, Concept ID: 3001110)"
ALP,"Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 6768-6, Concept ID: 3035995)"
ALT,"Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P (LOINC: 1743-4, Concept ID: 3005755)"
ALT,"Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 1742-6, Concept ID: 3006923)"
Amylase,"Amylase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 1798-8, Concept ID: 3016771)"
aPTT,"aPTT in Blood by Coagulation 1:1 saline (LOINC: 16631-4, Concept ID: 3016529)"
aPTT,"aPTT in Blood by Coagulation assay (LOINC: 3173-2, Concept ID: 3013466)"
aPTT,"aPTT in Platelet poor plasma by Coagulation 1:1 saline (LOINC: 43734-3, Concept ID: 3045961)"
aPTT,"aPTT in Platelet poor plasma by Coagulation assay (LOINC: 14979-9, Concept ID: 3018677)"
AST,"Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 1920-8, Concept ID: 3013721)"
AST,"Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P (LOINC: 30239-8, Concept ID: 3037081)"
Basophils,"Basophils/100 leukocytes in Blood (LOINC: 30180-4, Concept ID: 3022096)"
Basophils,"Basophils/100 leukocytes in Blood by Automated count (LOINC: 706-2, Concept ID: 3013869)"
Basophils,"Basophils [#/volume] in Blood by Manual count (LOINC: 705-4, Concept ID: 3027651)"
Basophils,"Basophils/100 leukocytes in Blood by Manual count (LOINC: 707-0, Concept ID: 3009797)"
Basophils,"Basophils [#/volume] in Blood by Automated count (LOINC: 704-7, Concept ID: 3013429)"
Bilirubin,"Bilirubin [Presence] in Urine by Confirmatory method (LOINC: 58450-8, Concept ID: 40761551)"
Bilirubin,"Bilirubin.total [Presence] in Urine by Test strip (LOINC: 5770-3, Concept ID: 3018834)"
Bilirubin,"Bilirubin.direct [Mass/volume] in Serum or Plasma (LOINC: 1968-7, Concept ID: 3027597)"
Bilirubin,"Bilirubin.total [Mass/volume] in Serum or Plasma (LOINC: 1975-2, Concept ID: 3024128)"
Bilirubin,"Bilirubin.total [Moles/volume] in Urine (LOINC: 70199-5, Concept ID: 42868673)"
Bilirubin,"Bilirubin.indirect [Mass/volume] in Serum or Plasma (LOINC: 1971-1, Concept ID: 3007359)"
Bilirubin,"Bilirubin.total [Presence] in Urine by Automated test strip (LOINC: 50551-1, Concept ID: 3030477)"
BNP,"Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma (LOINC: 33762-6, Concept ID: 3029187)"
BNP,"Natriuretic peptide B [Mass/volume] in Serum or Plasma (LOINC: 30934-4, Concept ID: 3011960)"
BUN,"Urea nitrogen [Mass/volume] in Peripheral blood (LOINC: 12963-5, Concept ID: 3010335)"
BUN,"Urea nitrogen [Mass/volume] in Serum or Plasma (LOINC: 3094-0, Concept ID: 3013682)"
BUN,"Urea nitrogen [Mass/volume] in Arterial blood (LOINC: 12961-9, Concept ID: 3026617)"
BUN,"Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis (LOINC: 11064-3, Concept ID: 3034104)"
BUN,"Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma (LOINC: 3097-3, Concept ID: 3018311)"
BUN,"Urea nitrogen [Mass/volume] in Venous blood (LOINC: 12962-7, Concept ID: 3027219)"
BUN,"Urea nitrogen [Mass/volume] in Blood (LOINC: 6299-2, Concept ID: 3004295)"
