SPECIMEN_SOURCE	LOINC	LOINC_CD_KEY	LOAD_DATE
BLD	10331-7	61029	2021-02-17
BLD	10368-9	61068	2017-09-07
SER_PLAS	10466-1	61176	2020-12-11
SER	10834-0	61553	2017-09-07
SER_PLAS	10839-9	61558	1900-01-01
SER	10900-9	61624	2017-09-07
SER_PLAS	10912-4	61637	2017-09-07
SER_PLAS	11011-4	61747	2017-09-07
RBC	11053-6	61791	2020-12-11
SER_PLAS	11064-3	61803	2017-09-07
SER	11258-1	62005	2017-09-07
SER_PLAS	11259-9	62006	2017-09-07
BLD	11558-4	62302	2020-12-11
SER_PLAS	11572-5	62316	2017-09-07
SER	11573-3	62317	2017-09-07
SER_PLAS	11579-0	62322	2017-09-07
SER_PLAS	11580-8	62324	2017-09-07
BLD	12185-5	62968	2020-12-11
SER_PLAS	12187-1	62970	1900-01-01
SER_PLAS	12195-4	62978	2017-09-07
BLD	12227-5	63011	2017-09-07
BLD	12961-9	63797	2017-09-07
BLD	12962-7	63798	2017-09-07
BLD	12963-5	63799	2017-09-07
BLD	1305-2	63890	2021-02-17
CSF	13226-6	64043	2017-09-07
CSF	13249-8	64067	2017-09-07
CSF	13251-4	64070	2017-09-07
SER	13279-5	64100	2017-09-07
CSF	13281-1	64103	2017-09-07
CSF	13282-9	64104	2017-09-07
SER_PLAS	13457-7	64290	1900-01-01
PPP	13488-2	64323	2020-12-11
SER	13949-3	64813	2017-09-07
SER_PLAS	13952-7	64817	2017-09-07
SER_PLAS	13955-0	64820	2017-09-07
SER_PLAS	13969-1	64835	1900-01-01
SER_PLAS	14118-4	64994	2017-09-07
BLD	14196-0	65076	2020-12-11
GAST_FLD	14403-0	65297	2021-02-17
BLD	14580-5	65491	2021-02-17
BLDV	14627-4	65542	2020-12-11
SER_PLAS	14631-6	65547	2020-12-11
SER_PLAS	14634-0	65549	2021-02-17
SER_PLAS	14682-9	65599	2020-12-11
SER_PLAS	14723-1	65645	2020-12-11
SER_PLAS	14757-9	65682	2018-01-25
SER_PLAS	14759-5	65684	2018-01-25
BLD	14775-1	65702	1900-01-01
BODY_FLD	14803-1	65733	2021-02-17
SER_PLAS	14804-9	65734	2020-12-11
SER_PLAS	14805-6	65735	2020-12-11
BLD	14908-8	65846	2021-02-17
SER_PLAS	14929-4	65869	2017-09-07
URINE	14957-5	65900	2017-09-07
PPP	14979-9	65924	2020-12-11
SER_PLAS	14995-5	65942	2018-01-25
SER_PLAS	1514-9	66097	2018-01-25
PPP	15179-5	66137	2020-06-02
SER_PLAS	1518-0	66138	2018-01-25
SER	15205-8	66166	2017-09-07
SER_PLAS	1558-6	66567	2017-09-07
SER	16128-1	67136	2017-09-07
RBC	16324-6	67345	2020-12-11
RBC	16412-9	67424	2020-12-11
RBC	16461-6	67473	2020-12-11
BODY_FLD	16503-5	67520	2021-02-17
BLD	16630-6	67646	2020-12-11
BLD	16631-4	67647	2017-09-07
SER	16715-5	67738	2017-09-07
URINE	16717-1	67740	2017-09-07
URINE	16719-7	67742	2017-09-07
PPP	16859-1	67878	2021-02-17
SER	16933-4	67953	2017-09-07
BLD	16934-2	67954	2017-09-07
SER	16935-9	67955	2017-09-07
SER	16944-1	67965	2017-09-07
SER	16955-7	67975	2017-09-07
SER	16957-3	67977	2017-09-07
SER_PLAS	1742-6	68468	2017-04-01
SER_PLAS	1743-4	68477	2017-04-01
SER_PLAS	1744-2	68488	2020-12-11
SER_PLAS	1751-7	68563	2017-09-07
URINE	1754-1	68596	2017-09-07
CSF	17551-3	68607	2017-09-07
SER_PLAS	1759-0	68649	2017-09-07
BLD	1783-0	68885	2017-09-07
BLD	17849-1	68904	2020-12-11
SER	17850-9	68906	2017-09-07
SER	17851-7	68907	2017-09-07
BLD	17855-8	68911	1900-01-01
SER	17857-4	68913	2017-09-07
SER_PLAS	17861-6	68918	2017-09-07
SER_PLAS	17863-2	68920	2017-09-07
SER_PLAS	17864-0	68921	2017-09-07
SER_PLAS	1798-8	69046	2017-09-07
BLD	18184-2	69272	2020-12-11
SER_PLAS	18262-6	69357	2017-09-07
SER_PLAS	1834-1	69432	2017-09-07
CSF	18348-3	69440	2017-09-07
SER_PLAS	1920-8	70262	2017-04-01
BLDMV	19213-8	70276	2020-12-11
BLDMV	19224-5	70287	2020-12-11
BLDA	19230-2	70294	2020-12-11
BLDC	19231-0	70295	2020-12-11
BLDV	19232-8	70296	2020-12-11
BLDMV	19233-6	70297	2020-12-11
BLDA	19255-9	70319	2020-12-11
